IDH: 01, IDL: 27, Len: 08, Data: 68 10 00 08 00 12 AE 70
IDH: 02, IDL: 62, Len: 05, Data: 03 04 00 02 72
IDH: 02, IDL: 66, Len: 08, Data: 3E AA 30 01 00 00 AC 35
