IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 09 84 80 00 00 ,TS: 3987,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 5C 80 00 FF 00 1D ,TS: 4061,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 4142,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 77 44 ,TS: 4177,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 4238,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 5C 79 7F BF 17 00 00 ,TS: 4253,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0B 2D 66 ,TS: 4333,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 4427,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 4509,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 5F C0 91 77 ,TS: 4589,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 74 00 00 00 00 00 ,TS: 4669,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 64 00 27 02 ,TS: 4749,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 4810,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 88 1F 3E 62 5A 25 4A ,TS: 4833,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 4910,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 4989,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 80 81 A9 1C 00 ,TS: 5069,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 0D 10 74 00 ,TS: 5159,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 5233,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 3D 00 69 C9 5B ,TS: 5309,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 5397,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 3C 19 00 34 C0 00 ,TS: 5470,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 09 42 80 00 00 ,TS: 5549,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 5E 80 00 FF 00 1D ,TS: 5629,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 5709,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 78 44 ,TS: 5783,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 5844,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 5E A9 7F CA 17 00 00 ,TS: 5862,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0A 2D 66 ,TS: 5933,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 6013,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 6093,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 67 C0 91 78 ,TS: 6173,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 7C 00 00 00 00 00 ,TS: 6257,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 62 00 26 02 ,TS: 6285,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 6347,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 85 1E 3E 62 5A 25 D1 ,TS: 6365,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 6445,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 6528,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7F 81 AA 1C 00 ,TS: 6605,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C ED 13 0D 10 74 00 ,TS: 6685,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 6765,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 41 00 69 C9 5B ,TS: 6845,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 6925,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 3B 19 00 34 C0 00 ,TS: 7005,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 09 12 80 00 00 ,TS: 7092,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 5F 80 00 FF 00 1D ,TS: 7168,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 7245,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 79 26 ,TS: 7309,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 7371,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 60 B1 7F D4 1B 00 00 ,TS: 7389,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0B 2D 66 ,TS: 7473,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 0A 00 ,TS: 7559,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 7629,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 6F C0 91 76 ,TS: 7709,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 6F 00 00 00 00 00 ,TS: 7789,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 60 00 25 02 ,TS: 7821,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 7882,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 86 1E 3E 62 5A 26 44 ,TS: 7900,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 7981,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 C1 ,TS: 8060,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7E 81 AA 1C 00 ,TS: 8141,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 0D 10 74 00 ,TS: 8226,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 8301,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 44 00 69 C9 5B ,TS: 8381,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 8465,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 2D 1C 00 34 C0 00 ,TS: 8542,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 08 D0 80 00 00 ,TS: 8621,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 60 80 00 FF 00 1D ,TS: 8701,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 8790,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 79 CD ,TS: 8845,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 8908,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 61 C9 7F DA 1B 00 00 ,TS: 8924,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0B 2D 66 ,TS: 9005,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 0A 00 ,TS: 9085,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 9180,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 77 C0 91 78 ,TS: 9264,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 7E 00 00 00 00 00 ,TS: 9360,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 5F 00 25 02 ,TS: 9423,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 9480,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 82 1D 3D 62 5A 26 A5 ,TS: 9485,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 9568,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 9645,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7D 81 AA 1C 00 ,TS: 9732,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C F6 13 0D 10 74 00 ,TS: 9805,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 9884,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 47 00 69 C9 5B ,TS: 9964,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 10044,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 2A 1B 80 34 C0 00 ,TS: 10125,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 08 B0 80 00 00 ,TS: 10204,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 62 80 00 FF 00 1D ,TS: 10292,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 10365,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 7A EE ,TS: 10445,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 10507,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 63 A9 7F E3 1B 00 00 ,TS: 10524,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 10 2D 66 ,TS: 10605,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 0C 00 ,TS: 10685,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 10765,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 7F C0 91 76 ,TS: 10866,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 6F 00 00 00 00 00 ,TS: 10957,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 5E 00 25 02 ,TS: 11020,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 11079,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 88 1D 3D 62 5A 26 F3 ,TS: 11086,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 11165,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 11244,BAUD: 1
