IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 6563,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 6645,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 6796,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 6855,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 7031,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 7089,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 7264,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 7331,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 7502,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 7575,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 7733,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 7795,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 7969,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 8026,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 8202,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 8262,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 8438,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 8497,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 8671,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 8730,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 8906,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 8980,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 9139,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 9198,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 9390,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 9448,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 9608,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 9667,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 9843,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 9902,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 10076,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 10141,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 10326,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 10388,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 10545,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 10605,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 10785,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 10856,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 11014,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 11074,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 11256,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 11325,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 11483,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 11547,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 11726,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 11793,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 11952,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 12017,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 12186,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 12247,BAUD: 1
